Event number,event_uuid,start_time,end_time,Primary category,Rally Shot Type,Z Game Number,Receiving Location,Won By,Result Type,Server,Serving Location
166,c492a106-9234-45f0-b6e6-912c0acc9e1b,225.884,230.884,Player B Zone 5,Serve,Game 1,Player A Zone 2,,,Player B,Left
167,0363d6a4-85da-4ad8-a095-e478893578b1,226.4,231.4,Player A Zone 2,Net Shot,Game 1,Player B Zone 1,,,Player B,Left
168,e916c731-7fe4-44f1-a11a-92ce19b3b7fb,227.312,232.312,Player B Zone 1,Lift,Game 1,Player A Zone 7,,,Player B,Left
169,ddd2ec18-3207-4cea-a2ea-24aaf6a3ace2,228.395,233.395,Player A Zone 7,Clear,Game 1,Player B Zone 9,,,Player B,Left
170,f5469c02-6c7e-471a-bfa3-4c0fca6d9abe,229.454,234.454,Player B Zone 9,Drop,Game 1,Player A Zone 3,,,Player B,Left
171,63c21d75-08f6-4529-ad2f-f51ef316408c,230.354,235.354,Player A Zone 3,Net Shot,Game 1,Player B Zone 3,,,Player B,Left
172,ce51e2b0-3ce5-4de5-9adf-b8dde8f1262c,231.991,236.991,Player B Zone 3,Lift,Game 1,Player A Zone 9,,,Player B,Left
173,2a8b70e2-6364-4b15-bce6-8fadcdcb6672,232.393,237.393,Player A Zone 9,Drop,Game 1,Player B Zone 1,,,Player B,Left
174,5e91ad9e-8ae7-4f37-8167-b4f2c6ddb9db,233.374,238.374,Player B Zone 1,Lift,Game 1,Player A Zone 7,,,Player B,Left
175,9092e8ad-26f2-40c4-8999-acef9604c45a,234.58,239.58,Player A Zone 7,Drive,Game 1,Player B Zone 5,,,Player B,Left
176,a23734fe-aeeb-4f7c-9129-3ceb3d6b2f0a,235.275,240.275,Player B Zone 5,Lift,Game 1,Player A Zone 7,,,Player B,Left
177,9a9fa30b-b1e7-42d4-b4d6-8a3ee81affde,236.712,241.712,Player A Zone 7,Clear,Game 1,Player B Zone 9,,,Player B,Left
178,6d7021a5-18de-4ba2-b956-07942e45c0fd,238.119,243.119,Player B Zone 9,Smash,Game 1,Out,Won Point Player A,Opp Forced Error,Player B,Left
179,beb6b3a9-0d33-435c-a226-855c8d1aa997,241.587,246.587,Player A Zone 5,Serve,Game 1,Player B Zone 1,,,Player A,Left
180,0bdc174f-b6ec-4978-bbd9-6228b4c548d7,242.987,247.987,Player B Zone 1,Lift,Game 1,Player A Zone 9,,,Player A,Left
181,ce64f69a-74c2-4397-9f5a-dc555a1be6f4,243.822,248.822,Player A Zone 9,Clear,Game 1,Player B Zone 7,,,Player A,Left
182,64cca0a7-ceb5-4b5a-b0d7-88042d3ac302,244.928,249.928,Player B Zone 7,Smash,Game 1,Player A Zone 7,Won Point Player B,Winner,Player A,Left
183,6ec56236-61ca-488e-a1cc-a71128a6effa,249.375,254.375,Player B Zone 5,Serve,Game 1,Player A Zone 3,,,Player B,Right
184,2d1d34dc-b822-4e91-8e5f-a66d2c6d3b31,249.796,254.796,Player A Zone 3,Net Shot,Game 1,Player B Zone 2,,,Player B,Right
185,20ef4d93-5436-474d-8ddb-ecabd9b9d704,250.574,255.574,Player B Zone 2,Lift,Game 1,Player A Zone 9,,,Player B,Right
186,ca7abe89-4ad4-4abf-a4e0-ab6f4289815f,252.425,257.425,Player A Zone 9,Smash,Game 1,Player B Zone 6,,,Player B,Right
187,3178f306-126b-4de1-9cdd-7889f9bb9675,253.054,258.054,Player B Zone 6,Drop,Game 1,Player A Zone 3,,,Player B,Right
188,1aa588a8-d3db-4584-9cea-3cc65df3f3a0,254.104,259.104,Player A Zone 3,Lift,Game 1,Player B Zone 7,,,Player B,Right
189,cb02427f-fe37-4002-ad8a-970cbeaa4c70,255.574,260.574,Player B Zone 7,Drop,Game 1,Player A Zone 3,,,Player B,Right
190,166c1301-6607-4b46-9dce-7f739ce91b53,256.394,261.394,Player A Zone 3,Lift,Game 1,Player B Zone 9,,,Player B,Right
191,fa48506a-89a8-4e58-bd86-5dc6d3db9a91,257.581,262.581,Player B Zone 9,Smash,Game 1,Player A Zone 4,,,Player B,Right
192,926aca66-4458-4d0a-b0e1-8b0022ac0a16,258.144,263.144,Player A Zone 4,Short Defence,Game 1,Player B Zone 3,,,Player B,Right
193,c9d89ddb-a166-4e6b-b7d9-b168af87085c,258.833,263.833,Player B Zone 3,Drive,Game 1,Player A Zone 5,,,Player B,Right
