Event number,event_uuid,start_time,end_time,Primary category,Rally Shot Type,Z Game Number,Receiving Location,Won By,Result Type,Server,Serving Location
307,97ceb5d3-78ca-4257-9430-35313642987c,432.619,437.619,Player A Zone 5,Serve,Game 2,Player B Zone 9,,,Player A,Right
308,bd691955-78f3-41ee-b4d9-42155e390d52,434.04,439.04,Player B Zone 9,Smash,Game 2,Player A Zone 4,,,Player A,Right
309,8ecc50cb-feb0-441f-b601-f2663f342ede,434.675,439.675,Player A Zone 4,Short Defence,Game 2,Player B Zone 3,,,Player A,Right
310,1e012a97-c63c-4e87-abae-1da0a595145a,435.568,440.568,Player B Zone 3,Drive,Game 2,Player A Zone 9,Won Point Player B,Winner,Player A,Right
311,f6d60f2d-a010-448b-91b7-befcaa81eb60,439.956,444.956,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Left
312,148a2fce-a2a1-4810-9872-3a2a17b2ffbd,440.868,445.868,Player A Zone 2,Lift,Game 2,Player B Zone 7,,,Player B,Left
313,e7b4abc4-f389-45bf-8734-4fd52be904d2,441.794,446.794,Player B Zone 7,Drop,Game 2,Player A Zone 1,,,Player B,Left
314,673c0323-7f90-44bf-8ce4-92f7803b4b0f,442.632,447.632,Player A Zone 1,Lift,Game 2,Player B Zone 7,,,Player B,Left
315,03b9cb1e-ec10-4a17-a52f-cdb9071f8469,443.899,448.899,Player B Zone 7,Smash,Game 2,Player A Zone 4,Won Point Player B,Winner,Player B,Left
316,7669cc11-77b7-478a-a128-9413147c2a94,447.269,452.269,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Right
317,af4a286b-e2fc-4974-9869-657c5fdc62ba,447.861,452.861,Player A Zone 2,Net Shot,Game 2,Player B Zone 2,,,Player B,Right
318,8f5c952b-2fba-4d94-b801-171bd95283d6,448.875,453.875,Player B Zone 2,Lift,Game 2,Player A Zone 9,Won Point Player B,Winner,Player B,Right
319,71ba0518-8fa6-4496-9114-00c6cc1ac7ee,452.924,457.924,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Left
320,0621c657-a924-4ed4-919e-9b086a15a740,453.972,458.972,Player A Zone 2,Net Shot,Game 2,Player B Zone 1,,,Player B,Left
321,addc6bef-19c4-47cf-8dd5-5dc654802bd5,454.714,459.714,Player B Zone 1,Lift,Game 2,Player A Zone 8,,,Player B,Left
322,88ad0749-16e0-4b1c-89d4-0e248cd6b258,455.951,460.951,Player A Zone 8,Smash,Game 2,Player B Zone 6,,,Player B,Left
323,d5a854c2-8c0b-4552-ba84-de5ba8161129,456.348,461.348,Player B Zone 6,Short Defence,Game 2,Player A Zone 3,,,Player B,Left
324,ce6b20b1-3abe-4ccf-99a4-e0f391ad9d27,457.387,462.387,Player A Zone 3,Net Shot,Game 2,Player B Zone 1,,,Player B,Left
325,b8339cb2-98d9-4c84-8572-92d32af26264,458.432,463.432,Player B Zone 1,Lift,Game 2,Player A Zone 6,,,Player B,Left
326,42f6fbb5-6749-4541-8f8f-d6143800e098,458.99,463.99,Player A Zone 6,Clear,Game 2,Player B Zone 7,,,Player B,Left
327,dc37f76e-f078-4c29-8ac1-f610dbacea4d,460.104,465.104,Player B Zone 7,Smash,Game 2,Player A Zone 6,,,Player B,Left
328,c0df275c-3dc7-464b-8c5e-36e61cbcb86d,460.836,465.836,Player A Zone 6,Short Defence,Game 2,Player B Zone 6,,,Player B,Left
329,70a0c09a-50fe-4466-849b-8c884cdcf679,461.605,466.605,Player B Zone 6,Drop,Game 2,Player A Zone 1,,,Player B,Left
330,b4face32-4a8a-4510-a80a-b60c84e246e1,462.744,467.744,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player B,Left
331,9e9fa459-796e-4142-a704-5f7919442e81,463.749,468.749,Player B Zone 3,Net Shot,Game 2,Net,Won Point Player A,Opp Forced Error,Player B,Left
332,1f7ea6dc-8492-422c-9184-54b84fa31511,469.224,474.224,Player A Zone 5,Serve,Game 2,Player B Zone 7,Won Point Player A,Winner,Player A,Left
333,e719b7cd-3ac5-472a-b7b4-db659582a61d,475.25,480.25,Player A Zone 5,Serve,Game 2,Player B Zone 9,,,Player A,Right
334,11431da1-ed99-4af1-9623-c6b30092062d,477.614,482.614,Player B Zone 9,Smash,Game 2,Player A Zone 5,,,Player A,Right
335,49d1463c-1895-4aa0-ab5e-26e191478d1c,477.965,482.965,Player A Zone 5,Short Defence,Game 2,Player B Zone 5,,,Player A,Right
336,16789c72-d7ce-4433-86d7-ae64eddf7ff5,478.513,483.513,Player B Zone 5,Drop,Game 2,Player A Zone 1,,,Player A,Right
337,f7d4db24-5120-49a7-9b66-b0ba97f74001,479.201,484.201,Player A Zone 1,Lift,Game 2,Player B Zone 7,,,Player A,Right
338,037fea7c-5d8c-4889-9aa7-0fcf1707b981,480.655,485.655,Player B Zone 7,Clear,Game 2,Player A Zone 9,,,Player A,Right
339,87dfb508-5281-46e7-9ef8-d782c7cc2c12,481.981,486.981,Player A Zone 9,Drive,Game 2,Player B Zone 4,,,Player A,Right
340,eb611acc-0a1f-4b17-a0db-fc416e702b0b,482.723,487.723,Player B Zone 4,Drop,Game 2,Player A Zone 3,,,Player A,Right
341,3b3d8508-4d12-4ee0-8b11-f24ea5cc5624,483.856,488.856,Player A Zone 3,Net Shot,Game 2,Player B Zone 3,,,Player A,Right
342,56685857-aacf-450e-8da9-5283117fd6ea,484.754,489.754,Player B Zone 3,Lift,Game 2,Player A Zone 7,,,Player A,Right
343,f28a4877-d87d-4fd8-a5cc-c71616963344,485.715,490.715,Player A Zone 7,Drop,Game 2,Player B Zone 1,,,Player A,Right
344,5a18512c-aba1-4121-9248-c50e32dca756,486.686,491.686,Player B Zone 1,Drive,Game 2,Player A Zone 9,Won Point Player B,Winner,Player A,Right
345,a7e8c78b-967a-4f25-b279-ceeb88021b98,489.927,494.927,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Right
346,7177ab70-34ac-4419-817e-d5c836593681,490.749,495.749,Player A Zone 2,Net Shot,Game 2,Net,Won Point Player B,Opp Forced Error,Player B,Right
347,c5bea254-c5e6-4da7-835a-d88190f69af1,496.227,501.227,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Left
348,aa20aef4-0395-460f-a053-7dddc909d222,496.865,501.865,Player A Zone 2,Net Shot,Game 2,Player B Zone 2,,,Player B,Left
349,eec06f06-f469-4292-a3c3-91f18f94ff95,497.815,502.815,Player B Zone 2,Lift,Game 2,Player A Zone 7,,,Player B,Left
350,30afdd40-1e6d-49cd-8755-c379c9ef7c49,498.862,503.862,Player A Zone 7,Smash,Game 2,Player B Zone 6,,,Player B,Left
351,683b03bb-e503-4a14-9650-3b33e5dd7214,499.582,504.582,Player B Zone 6,Drop,Game 2,Player A Zone 1,,,Player B,Left
352,ddbabf21-2b72-40c8-8e83-0a37527fcd13,500.23,505.23,Player A Zone 1,Lift,Game 2,Player B Zone 9,,,Player B,Left
353,dd773363-4ed3-4aea-b50c-2631d4275c28,501.45,506.45,Player B Zone 9,Drop,Game 2,Player A Zone 1,,,Player B,Left
354,8ae0addf-2e46-4f01-9163-877b372eb65f,502.587,507.587,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player B,Left
355,298d6708-2070-464e-8db4-a6abf255f964,503.417,508.417,Player B Zone 3,Net Shot,Game 2,Player A Zone 1,,,Player B,Left
356,a65825a8-2b9f-41dc-a788-2ecb6db22f57,504.519,509.519,Player A Zone 1,Lift,Game 2,Player B Zone 7,,,Player B,Left
357,54211973-2552-409d-bff6-a7e1bdfde1e9,505.837,510.837,Player B Zone 7,Drop,Game 2,Player A Zone 1,,,Player B,Left
358,efb7c726-5fd7-4b54-87cd-10d54885ceab,506.802,511.802,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player B,Left
359,f3833f04-1d6c-4030-b207-f6561cab12ef,507.848,512.848,Player B Zone 3,Lift,Game 2,Player A Zone 8,,,Player B,Left
360,727cf9d3-a9df-448a-bd14-2286c2286ae3,509.142,514.142,Player A Zone 8,Smash,Game 2,Out,Won Point Player B,Opp Forced Error,Player B,Left
361,c84c12a2-b341-45f0-b783-634d54f5f8de,515.083,520.083,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Right
362,94e24f9e-19e1-443c-9277-69f4753aa961,515.917,520.917,Player A Zone 2,Net Shot,Game 2,Player B Zone 2,,,Player B,Right
363,ddbbc1c9-ac48-4b5e-80eb-1e4075772d38,516.868,521.868,Player B Zone 2,Lift,Game 2,Player A Zone 8,,,Player B,Right
364,b02b1a38-d671-4b21-ac29-0d5a16a9a65e,518.388,523.388,Player A Zone 8,Smash,Game 2,Player B Zone 6,,,Player B,Right
365,1320b65c-7a4b-408b-aaf0-9a634af63ce7,519.035,524.035,Player B Zone 6,Short Defence,Game 2,Player A Zone 1,,,Player B,Right
366,d9edc53e-2aa2-4873-a49b-43d384ee2db5,520.018,525.018,Player A Zone 1,Lift,Game 2,Player B Zone 7,,,Player B,Right
367,d92d7549-67fe-4bb0-a413-da3d20cc2ec1,521.221,526.221,Player B Zone 7,Smash,Game 2,Player A Zone 4,,,Player B,Right
368,484d9ff6-7108-4ce9-a5e0-20029e7f383e,521.684,526.684,Player A Zone 4,Short Defence,Game 2,Player B Zone 6,,,Player B,Right
369,b3ba11fb-de88-466d-aaa9-23025de08d78,522.69,527.69,Player B Zone 6,Lift,Game 2,Player A Zone 7,,,Player B,Right
370,20e090b8-2d56-4bf9-9ac8-8983da367216,524.388,529.388,Player A Zone 7,Smash,Game 2,Player B Zone 6,,,Player B,Right
371,3b5561a4-208a-4694-a547-fb289c129ce7,524.898,529.898,Player B Zone 6,Short Defence,Game 2,Player A Zone 6,,,Player B,Right
372,cddc358b-4210-4e0e-a504-1d16a9012df0,525.55,530.55,Player A Zone 6,Drop,Game 2,Player B Zone 1,,,Player B,Right
373,c349a85a-aa38-4801-b4bb-67a935336aa6,526.481,531.481,Player B Zone 1,Net Shot,Game 2,Net,Won Point Player A,Opp Forced Error,Player B,Right
374,dfd70038-302f-44df-a5a4-51e6dfbf9b03,530.124,535.124,Player A Zone 5,Serve,Game 2,Player B Zone 2,,,Player A,Left
375,8cda51ba-0dd4-4b49-8e07-c75f98847e48,530.939,535.939,Player B Zone 2,Lift,Game 2,Player A Zone 7,,,Player A,Left
376,c8495141-c85c-4819-9dbb-ca6730654e03,532.096,537.096,Player A Zone 7,Smash,Game 2,Player B Zone 6,,,Player A,Left
377,7a0bf223-a2a2-497c-9ab4-e51fc08f2ba5,532.482,537.482,Player B Zone 6,Short Defence,Game 2,Out,Won Point Player A,Opp Forced Error,Player A,Left
378,15a73c82-ef3a-4713-b6ae-a731e75dee3a,535.19,540.19,Player A Zone 5,Serve,Game 2,Player B Zone 3,,,Player A,Right
379,f067ae32-6c8f-4d2a-a819-09640d4f1572,535.969,540.969,Player B Zone 3,Net Shot,Game 2,Player A Zone 3,,,Player A,Right
380,f66719d1-c56d-4a6f-b277-76589f0381d3,537.11,542.11,Player A Zone 3,Net Shot,Game 2,Player B Zone 1,,,Player A,Right
381,a988527c-3c76-404a-b2f5-ddb451a26bbb,537.486,542.486,Player B Zone 1,Lift,Game 2,Player A Zone 7,,,Player A,Right
382,5117933b-4cd1-46a3-bf92-de63826fb8b6,538.733,543.733,Player A Zone 7,Drive,Game 2,Player B Zone 9,,,Player A,Right
383,60d1d65d-5398-484d-836c-ccd427c09e3b,539.792,544.792,Player B Zone 9,Drop,Game 2,Player A Zone 1,,,Player A,Right
384,be7cbfc1-61f5-4262-b6cf-481c0fdcfbf6,540.771,545.771,Player A Zone 1,Net Shot,Game 2,Player B Zone 1,,,Player A,Right
385,354d854e-51c6-4f8a-8e6b-94e450d282e8,541.709,546.709,Player B Zone 1,Drive,Game 2,Player A Zone 6,,,Player A,Right
386,24d1a7d9-e261-4afb-b4c8-a0ec17d229da,542.12,547.12,Player A Zone 6,Clear,Game 2,Player B Zone 8,,,Player A,Right
387,fc20edb1-5ee1-48dc-93d3-37ca8a630bf3,542.956,547.956,Player B Zone 8,Smash,Game 2,Player A Zone 5,,,Player A,Right
388,2d44093f-b7ae-4ffe-b738-cf2d2d3c01ba,543.412,548.412,Player A Zone 5,Short Defence,Game 2,Player B Zone 2,,,Player A,Right
389,40ddb4f1-9521-4f35-88b4-2a68f22c6d05,544.285,549.285,Player B Zone 2,Drive,Game 2,Player A Zone 5,,,Player A,Right
390,f364a692-9d25-419b-87b5-bbe77c03cd24,544.995,549.995,Player A Zone 5,Drop,Game 2,Player B Zone 1,,,Player A,Right
391,f7090c41-9e40-48d7-b03d-100f5d12e022,546.041,551.041,Player B Zone 1,Lift,Game 2,Player A Zone 7,,,Player A,Right
392,bc3d1513-a60a-4ad6-b56d-77dba6fb6c81,546.943,551.943,Player A Zone 7,Smash,Game 2,Player B Zone 6,,,Player A,Right
393,43f53ec4-6545-43b2-a06b-d574fe11fef0,547.512,552.512,Player B Zone 6,Short Defence,Game 2,Player A Zone 1,,,Player A,Right
394,ffdff8da-162f-4ae2-9581-d8575f88428d,548.285,553.285,Player A Zone 1,Net Shot,Game 2,Player B Zone 1,,,Player A,Right
395,71fd5738-db79-436e-b794-1fb7651abc19,549.483,554.483,Player B Zone 1,Lift,Game 2,Player A Zone 8,Won Point Player B,Winner,Player A,Right
396,0a8a556e-d927-499b-a335-f612c9c9d7f8,553.027,558.027,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Left
397,592eacc0-91bd-4a30-99e9-5cccbbe1b275,553.682,558.682,Player A Zone 2,Net Shot,Game 2,Player B Zone 3,,,Player B,Left
398,9911d01c-725e-4e7d-8f4a-6b1545e84778,554.567,559.567,Player B Zone 3,Lift,Game 2,Player A Zone 7,,,Player B,Left
399,caa4c0af-44cc-480f-b864-a3f9d88d22c9,556.239,561.239,Player A Zone 7,Smash,Game 2,Player B Zone 4,,,Player B,Left
400,ba8c96e0-649e-48a1-90d6-bacedcf1d1b9,556.95,561.95,Player B Zone 4,Drop,Game 2,Player A Zone 1,,,Player B,Left
401,caa82cda-f1e5-4633-b306-dd92efbe6e64,557.65,562.65,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player B,Left
402,52eeb5ee-951c-459a-a4fb-6842d6999e8a,558.864,563.864,Player B Zone 3,Lift,Game 2,Player A Zone 8,,,Player B,Left
403,293fba40-be22-461c-b6da-0d1b6d603945,560.746,565.746,Player A Zone 8,Clear,Game 2,Player B Zone 9,Won Point Player A,Winner,Player B,Left
404,cf09c44f-b006-481c-8297-98da89bd511f,564.569,569.569,Player A Zone 5,Serve,Game 2,Player B Zone 8,,,Player A,Left
405,aff04a77-f5ad-4b67-988b-1c98ff964609,566.102,571.102,Player B Zone 8,Drop,Game 2,Player A Zone 3,,,Player A,Left
406,a05bde8f-8717-41c5-91c2-513c082fef56,567.07,572.07,Player A Zone 3,Net Shot,Game 2,Player B Zone 1,,,Player A,Left
407,a3d86de9-5534-4532-98c1-5ed6cc044995,567.88,572.88,Player B Zone 1,Net Shot,Game 2,Player A Zone 3,,,Player A,Left
408,32536161-55f4-4f97-8fc9-a6f8f3ef0800,569.055,574.055,Player A Zone 3,Lift,Game 2,Player B Zone 8,,,Player A,Left
409,6c754531-2057-4c88-93a8-2b425614e210,570.634,575.634,Player B Zone 8,Smash,Game 2,Player A Zone 6,,,Player A,Left
410,3ee0e816-b9ea-4d5e-9321-54c2b8991bfe,571.303,576.303,Player A Zone 6,Short Defence,Game 2,Player B Zone 1,,,Player A,Left
411,845b76d6-464d-453a-9f61-f14f2d3036e9,571.974,576.974,Player B Zone 1,Drive,Game 2,Player A Zone 4,,,Player A,Left
412,eda6d366-3dd2-4d7d-81c5-3a34ca4240bd,572.582,577.582,Player A Zone 4,Drive,Game 2,Player B Zone 6,,,Player A,Left
413,9dc40d30-ed0c-4327-8f6d-b366e893ad9b,573.224,578.224,Player B Zone 6,Drop,Game 2,Player A Zone 1,,,Player A,Left
414,267c144c-f075-4a30-8f1b-d4ad1bdd4562,574.258,579.258,Player A Zone 1,Lift,Game 2,Player B Zone 9,,,Player A,Left
415,bc63d475-197d-495d-a382-074d75545c8f,575.412,580.412,Player B Zone 9,Clear,Game 2,Player A Zone 7,,,Player A,Left
416,9ef00cd7-1706-458b-8e9a-c32dca80bb94,576.49,581.49,Player A Zone 7,Clear,Game 2,Out,Won Point Player B,Opp Forced Error,Player A,Left
417,18f4b291-8cee-4a8d-be40-deb47271b1d9,581.3,586.3,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Right
418,0c064466-ca10-4e2d-91bd-4d2184ace86d,582.18,587.18,Player A Zone 2,Net Shot,Game 2,Player B Zone 3,,,Player B,Right
419,af7c41ef-3345-48eb-85cd-927700827f3b,582.908,587.908,Player B Zone 3,Lift,Game 2,Player A Zone 8,,,Player B,Right
420,4aa3a291-1dd2-422c-9b8b-75927d14864a,584.235,589.235,Player A Zone 8,Smash,Game 2,Player B Zone 4,,,Player B,Right
421,d5784299-af90-4891-b874-a0de79fbde96,584.809,589.809,Player B Zone 4,Drop,Game 2,Player A Zone 1,,,Player B,Right
422,27dd07d3-3792-47f8-a6dc-eba9cd723de2,585.895,590.895,Player A Zone 1,Net Shot,Game 2,Player B Zone 2,,,Player B,Right
423,4a7003a3-03db-42d0-8672-fa0817a5cbf6,586.89,591.89,Player B Zone 2,Net Shot,Game 2,Net,Won Point Player A,Opp Forced Error,Player B,Right
424,e7778f14-77c4-4e42-8555-106110e09147,590.908,595.908,Player A Zone 5,Serve,Game 2,Player B Zone 9,,,Player A,Right
425,809895bd-5b9e-4f43-95ae-1bb0d25d32c9,592.693,597.693,Player B Zone 9,Smash,Game 2,Player A Zone 6,,,Player A,Right
426,dd869f72-2276-41e5-9952-55197e4ec370,593.145,598.145,Player A Zone 6,Drop,Game 2,Player B Zone 1,,,Player A,Right
427,bc749ec8-4156-4ec2-833b-af9bac89fc5a,594.211,599.211,Player B Zone 1,Lift,Game 2,Player A Zone 6,,,Player A,Right
428,1071ef60-e4ed-4a86-b73e-bc21da4fedc7,594.962,599.962,Player A Zone 6,Drive,Game 2,Player B Zone 6,,,Player A,Right
429,4a71452a-5902-4138-a8d3-6727ae6543d3,595.589,600.589,Player B Zone 6,Smash,Game 2,Net,Won Point Player A,Opp Forced Error,Player A,Right
430,64ed693f-6266-4669-8a5d-f3724e00f3a7,598.416,603.416,Player A Zone 5,Serve,Game 2,Player B Zone 7,,,Player A,Left
431,e780656e-833c-473b-ac47-580629f22153,599.588,604.588,Player B Zone 7,Clear,Game 2,Player A Zone 6,,,Player A,Left
432,f9f05764-9ed2-4f93-8839-04681754ada7,600.601,605.601,Player A Zone 6,Smash,Game 2,Player B Zone 4,,,Player A,Left
433,99b991f0-75b1-4894-9f5c-a20fa9fef9c9,601.105,606.105,Player B Zone 4,Short Defence,Game 2,Player A Zone 1,,,Player A,Left
434,fbe97597-a0f1-4243-ac10-00ab439a27c2,602.037,607.037,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player A,Left
435,b3c6257f-2a79-44c7-813c-2a78d0d4f99e,603.13,608.13,Player B Zone 3,Lift,Game 2,Player A Zone 7,,,Player A,Left
436,beae800d-928d-47e7-8282-44d0551fc5d7,604.077,609.077,Player A Zone 7,Smash,Game 2,Player B Zone 4,,,Player A,Left
437,222eaf2a-864a-4fc5-a4c8-efd95272470d,604.692,609.692,Player B Zone 4,Short Defence,Game 2,Player A Zone 3,,,Player A,Left
438,4efa768a-3814-4414-84ba-5186b412b0ef,605.71,610.71,Player A Zone 3,Net Shot,Game 2,Player B Zone 1,,,Player A,Left
439,d3698c72-a5e8-4d71-a52d-d781d055f702,606.747,611.747,Player B Zone 1,Net Shot,Game 2,Net,Won Point Player A,Opp Forced Error,Player A,Left
440,fb3aea3d-5a63-4389-bb12-97111ad30b83,610.733,615.733,Player A Zone 5,Serve,Game 2,Player B Zone 9,,,Player A,Right
441,e1cc4298-958c-4eb1-af81-34f87c1a6f7d,612.41,617.41,Player B Zone 9,Smash,Game 2,Player A Zone 6,,,Player A,Right
442,62944f51-cc17-4641-887b-28f2046fe08e,613.084,618.084,Player A Zone 6,Short Defence,Game 2,Player B Zone 1,,,Player A,Right
443,2d5aa70c-c0ab-435b-8b8d-8364478b0a11,613.919,618.919,Player B Zone 1,Lift,Game 2,Out,Won Point Player A,Opp Forced Error,Player A,Right
444,9bc0fabd-ebfe-4d91-b588-18bc1d7b047d,618.81,623.81,Player A Zone 5,Serve,Game 2,Player B Zone 7,,,Player A,Left
445,2c83289c-86ca-44f3-9caf-f6c2e6a916ea,620.737,625.737,Player B Zone 7,Drop,Game 2,Player A Zone 1,,,Player A,Left
446,e3d7517d-d1ab-4750-bb24-6dfddd71a391,621.511,626.511,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player A,Left
447,6bcad116-70c8-428d-b748-78683c9166ca,622.62,627.62,Player B Zone 3,Lift,Game 2,Player A Zone 7,,,Player A,Left
448,f8ef0dad-ef86-46b9-a1de-92b0cfa6e614,623.695,628.695,Player A Zone 7,Drop,Game 2,Player B Zone 4,,,Player A,Left
449,9b33c20d-794c-449a-9b4b-249ed72df8c2,624.639,629.639,Player B Zone 4,Lift,Game 2,Player A Zone 5,,,Player A,Left
450,010707be-645a-4948-ac7f-123fcf935110,625.414,630.414,Player A Zone 5,Drop,Game 2,Player B Zone 4,,,Player A,Left
451,d4f8ae71-ac43-4655-989b-8df8a8d4c7d0,626.291,631.291,Player B Zone 4,Lift,Game 2,Player A Zone 7,,,Player A,Left
452,cee5252b-942c-4aee-8c59-c83577b91b6f,627.455,632.455,Player A Zone 7,Drive,Game 2,Player B Zone 6,,,Player A,Left
453,85818130-b852-4dc6-8a62-eb546085013f,628.223,633.223,Player B Zone 6,Drop,Game 2,Player A Zone 1,,,Player A,Left
454,00823981-de38-4226-98b3-e2446155ca32,629.079,634.079,Player A Zone 1,Lift,Game 2,Player B Zone 9,,,Player A,Left
455,72449dfe-1e73-4eaf-9537-0e2fb1655fb9,630.512,635.512,Player B Zone 9,Drop,Game 2,Player A Zone 1,,,Player A,Left
456,376899ef-3162-414e-8cb8-d8c192a242aa,631.303,636.303,Player A Zone 1,Lift,Game 2,Player B Zone 8,,,Player A,Left
457,64cc862d-5fa2-4093-a1d5-bc265275e626,632.426,637.426,Player B Zone 8,Clear,Game 2,Player A Zone 8,,,Player A,Left
458,82aa4cee-7eca-453c-b3f6-e00c1505bd38,633.766,638.766,Player A Zone 8,Smash,Game 2,Player B Zone 6,,,Player A,Left
459,43f3164e-9913-40c8-845f-fbae5172ced8,634.523,639.523,Player B Zone 6,Lift,Game 2,Player A Zone 4,,,Player A,Left
460,79656867-4f52-4fd4-bd68-37c3a19844ba,635.31,640.31,Player A Zone 4,Drop,Game 2,Player B Zone 5,,,Player A,Left
461,2f5cc75e-867c-4994-b660-a9004e21c1f2,636.12,641.12,Player B Zone 5,Drop,Game 2,Player A Zone 3,,,Player A,Left
462,20f93167-f846-4822-ab38-9182daac9656,637.533,642.533,Player A Zone 3,Lift,Game 2,Player B Zone 7,,,Player A,Left
463,234ba7fa-1bf1-48bc-b8d1-787eba9b6fd5,638.977,643.977,Player B Zone 7,Drop,Game 2,Player A Zone 1,,,Player A,Left
464,72caf2fc-306a-4511-afe1-416b9dbca812,639.587,644.587,Player A Zone 1,Net Shot,Game 2,Player B Zone 1,,,Player A,Left
465,f73dd967-9733-44ae-abee-72f26a3cbbc3,640.531,645.531,Player B Zone 1,Lift,Game 2,Player A Zone 7,,,Player A,Left
466,347e9719-8ae9-4d10-93d3-31f47c86baf8,641.915,646.915,Player A Zone 7,Clear,Game 2,Player B Zone 7,,,Player A,Left
467,2959ded2-7a4a-499f-bcb7-cc89bf444ca8,643.156,648.156,Player B Zone 7,Clear,Game 2,Player A Zone 5,,,Player A,Left
468,0d438553-4b46-4514-bcf6-fb184b090a84,644.48,649.48,Player A Zone 5,Smash,Game 2,Player B Zone 4,,,Player A,Left
469,5fd18802-05a6-40dd-9a4f-a8b5cfff47a0,645.227,650.227,Player B Zone 4,Drop,Game 2,Player A Zone 3,,,Player A,Left
470,b4a91cd1-23f5-4ae7-9a5b-85eca88e9ba2,646.163,651.163,Player A Zone 3,Net Shot,Game 2,Player B Zone 3,Won Point Player A,Winner,Player A,Left
471,f1e43343-d008-4c9f-a3cc-d7b730943417,651.458,656.458,Player A Zone 5,Serve,Game 2,Player B Zone 9,,,Player A,Right
472,d4a9c96d-1745-4528-a5e6-513c04a26a72,653.239,658.239,Player B Zone 9,Smash,Game 2,Player A Zone 4,,,Player A,Right
473,3f8b37e3-e91a-4121-beeb-f3f91d1c2187,653.645,658.645,Player A Zone 4,Short Defence,Game 2,Player B Zone 3,,,Player A,Right
474,72f89887-0bc9-4feb-8373-4880c215338f,654.498,659.498,Player B Zone 3,Net Kill,Game 2,Player A Zone 9,Won Point Player B,Winner,Player A,Right
475,89e7627c-80d4-4a56-abea-4290ba766b13,659.073,664.073,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Left
476,91ffe175-8a04-424b-97fe-c29f54cf1e39,659.709,664.709,Player A Zone 2,Net Shot,Game 2,Player B Zone 1,,,Player B,Left
477,872b9dc4-c38b-4ebc-9e91-8c4805bb9ff0,660.714,665.714,Player B Zone 1,Lift,Game 2,Player A Zone 9,,,Player B,Left
478,4cca61fe-5613-4ca0-b94b-380ea5d814cf,661.563,666.563,Player A Zone 9,Smash,Game 2,Player B Zone 4,,,Player B,Left
479,b95d7ed7-bffb-4dbf-9abe-3d725cf8709b,662.12,667.12,Player B Zone 4,Drop,Game 2,Player A Zone 2,,,Player B,Left
480,5cf18dbc-10bf-40f2-b18d-9342dee92e21,662.976,667.976,Player A Zone 2,Lift,Game 2,Player B Zone 9,,,Player B,Left
481,e716ab25-0687-4816-999f-e6959728ed25,664.301,669.301,Player B Zone 9,Drop,Game 2,Player A Zone 1,,,Player B,Left
482,13827c1b-bc5a-4cd4-bedf-95bbb6106d89,665.31,670.31,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player B,Left
483,81ef6f48-aa6f-49f8-860c-1521bd9bd607,666.248,671.248,Player B Zone 3,Lift,Game 2,Player A Zone 7,,,Player B,Left
484,6cce7aad-f0e3-4395-b249-0f818a1c8b92,668.087,673.087,Player A Zone 7,Drive,Game 2,Player B Zone 6,,,Player B,Left
485,0da8e530-cb26-48d4-8c45-3cd16dea372a,668.699,673.699,Player B Zone 6,Lift,Game 2,Player A Zone 4,,,Player B,Left
486,617b45f9-f6b7-4f55-993d-e709f6a100d6,669.483,674.483,Player A Zone 4,Drop,Game 2,Player B Zone 3,,,Player B,Left
487,166823bb-fdc2-4493-a829-37fa764604c4,670.39,675.39,Player B Zone 3,Net Shot,Game 2,Player A Zone 3,,,Player B,Left
488,a1fbb46c-d2fa-4d8b-a1a7-e620a9180299,671.145,676.145,Player A Zone 3,Net Shot,Game 2,Player B Zone 1,,,Player B,Left
489,93875dc9-63d3-47df-8451-fd371ec84504,671.761,676.761,Player B Zone 1,Lift,Game 2,Player A Zone 9,,,Player B,Left
490,b2f1d9c6-2f42-44c9-b068-d147a274fe39,673.265,678.265,Player A Zone 9,Clear,Game 2,Player B Zone 7,,,Player B,Left
491,0176be21-beea-4b61-8699-34cdfda5b66e,674.277,679.277,Player B Zone 7,Smash,Game 2,Player A Zone 1,,,Player B,Left
492,2bfecdb5-01cc-42de-891c-8a89297552ab,675.121,680.121,Player A Zone 1,Lift,Game 2,Player B Zone 9,,,Player B,Left
493,69aaee26-dd68-4bdb-b6eb-6a1050382d5d,676.169,681.169,Player B Zone 9,Clear,Game 2,Player A Zone 7,,,Player B,Left
